NOTE: THIS LOG IS OBSOLETE AND IS REPLACED BY http://www.eclipse.org/gmf/development/ipquery.php
Committers (Section 1)
ahunter
atikhomirov
crevells
fplante
mfeldman
rgronback
sshaw
vramaswamy
ldamus
mmostafa
dstadnik
ashatalin
rdvorak
Developers (Section 2),,,,,,
,bug #,name,key,committer,size,description
Runtime Diagram,120737,Maneesh Goyal,mgoyal,sshaw,31 LOC,Diagrams not opening from cvs repositories view.
Runtime EMF,121077,Tom MacDougall,tmacdoug,sshaw,38 LOC,Exceptions when enter negative number in Font Height Value in Property View. Diagram corrupted when Closed and reopened
Models,121408,Christian Vogt,cvogt,vramaswamy,14 LOC,Eclipse-AutoStart deprecated
Generation,121508,Christian Damus,cdamus,ldamus,23391 LOC,Refactor MSL using the new transaction API
Generation,121508,Christian Damus,cdamus,ldamus,22552 LOC,Refactor MSL using the new transaction API
Runtime Diagram,121602,Radek Dvorak,rdvorak,atikhomirov,239 LOC,Complete and correct gmfgen meta-model with constraint annotations
Runtime EMF,122019,Christian Damus,cdamus,vramaswamy,34 LOC,Copy/paste fmwk does not paste members features of a feature map
Generation,122234,Chris McGee,cmcgee,vramaswamy,173 LOC,MSL Editor: bug in MSLSave.Escape.convert(String input) - escape strings overwrite input
Definition,122249,Tom MacDougall,tmacdoug,cmahoney,32 LOC,DiagramRootEditPart#initWorkspaceViewerProperties() can cause NPE
Runtime EMF,122767,Tom MacDougall,tmacdoug,ldamus,small,Do not throw NullPointerException from RulerGridPropertySection
Runtime Diagram,122970,Tom MacDougall,tmacdoug,ldamus,small,Typo in diagram.ui.properties plugin.xml section ID
Runtime Diagram,123232,Radek Dvorak,rdvorak,atikhomirov,3398 LOC,Add audit rule definitions to gmfgen model
Runtime EMF,123248,Tom MacDougall,tmacdoug,sshaw,21 LOC,Grid: Dot looks like Dash..
Runtime Diagram,123279,Radek Dvorak,rdvorak,atikhomirov,3865 LOC,Add audit rule definitions in gmf mapping
Definition,123283,Tom MacDougall,tmacdoug,sshaw,small,Grid: Grid spacing is not persisted...
Runtime Diagram,123325,Tom MacDougall,tmacdoug,sshaw,3 LOC,Restore defaults on Rulers & Grid Properties tab does not restore Snap to Grid
Definition,123656,Radek Dvorak,rdvorak,atikhomirov,827 LOC,"Add message, description to audit rule definitons in gmfgen model"
Generation,123979,Wayne Diu,wdiu,ldamus,41 LOC,Need a thread safe version of the AbstractActionDelegate
Runtime Diagram,124132,Christian Damus,cdamus,ahunter,4 LOC,MSLPlugin startup ineffective
Runtime Diagram,124426,Wayne Diu,wdiu,ldamus,4 LOC,Improper dependency from EnhancedPrintActionHelper
Runtime EMF,124524,njdoyle,njdoyle,ahunter,6 LOC,"New GMF Example Wizards under ""GMF (Graphical Modeling Framework)"" category"
Runtime EMF,125848,Radek Dvorak,rdvorak,ashatalin,71 LOC,Adapt to emft ocl changes in API
Runtime Diagram,126413,njdoyle,njdoyle,ahunter,32 LOC,ShapeColorsAndFontsPropertySection.refresh and ColorsAndFontsPropertySection.refresh leak image handles
Runtime Diagram,126413,njdoyle,njdoyle,ahunter,0 LOC,ShapeColorsAndFontsPropertySection.refresh and ColorsAndFontsPropertySection.refresh leak image handles
Runtime Diagram,126443,Christian Damus,cdamus,ldamus,3 LOC,Compilation error in MSLCrossReferenceAdapter blocking build
Runtime EMF,126635,Wayne Diu,wdiu,ldamus,105 LOC,Can't instantiate PrintPreviewAction without using internal API
Runtime EMF,126761,Christian Damus,cdamus,vramaswamy,36 LOC,MSLResource requires referenced resources to encode and decode urls
Runtime EMF,126761,Christian Damus,cdamus,vramaswamy,379 LOC,MSLResource requires referenced resources to encode and decode urls
Runtime Diagram,127252,Michael Golubev,mgolubev,atikhomirov,10512 LOC,layout support
Generation,127252,Michael Golubev,mgolubev,atikhomirov,94 LOC,uncompilable code using ToolbarLayout
Runtime Common,127252,Michael Golubev,mgolubev,atikhomirov,3460 LOC,layout support
Generation,127256,Radek Dvorak,rdvorak,atikhomirov,494 LOC,Adjust gmfmap metamodel annotation constraints to the latest changes
Runtime Diagram,127256,Radek Dvorak,rdvorak,atikhomirov,494 LOC,Adjust gmfmap metamodel annotation constraints to the latest changes
Runtime Diagram,127433,Tom MacDougall,tmacdoug,mmostafa,10 LOC,TextCompartmentEditPart can't accept multibyte characters from IM(Input method)
Generation,127446,Radek Dvorak,rdvorak,atikhomirov,3697 LOC,Enable audit rules on diagram (notation model) elements in gmfgen model
Generation,127491,Fedor Isakov,fisakov,dstadnik,63 LOC,"When node is removed external label remains, should not"
Generation,127636,Radek Dvorak,rdvorak,ashatalin,64 LOC,Fix gmf.tests junit failure due to domain element without Resource assigned
Generation,127700,Radek Dvorak,rdvorak,atikhomirov,368 LOC,Rename genmodel::ModelElementSelector as a generic GenConstraint element
Generation,128087,Radek Dvorak,rdvorak,atikhomirov,10 LOC,"Migrate to EMFT OCL API changes - #125458, 125684"
Runtime EMF,128620,Michael Golubev,mgolubev,ashatalin,662 LOC,Split org.eclipse.gmf.codegen.util.Generator
Generation,128779,Michael Golubev,mgolubev,atikhomirov,642 LOC,Create standalone plugin with GEF figures
Generation,128779,Michael Golubev,mgolubev,atikhomirov,885 LOC,generate figures as standalone plugin
Generation,128779,Michael Golubev,mgolubev,atikhomirov,168 LOC,create new .gmfgraph as part of figure bundle generation process
Generation,128779,Michael Golubev,mgolubev,atikhomirov,68 LOC,test graphdef model->code converter utility
Generation,128855,Christian Damus,cdamus,vramaswamy,37 LOC,MSL Editor: Set Pathmap Dialog Not Available
Runtime EMF,129178,Chris McGee,cmcgee,vramaswamy,14 LOC,MSL Editor: NPE on MSLUtil.destroy(...) when using FeatureMaps
Generation,129328,Michael Golubev,mgolubev,atikhomirov,243 LOC,handle MapMode access in a variety of ways
Generation,129328,Michael Golubev,mgolubev,atikhomirov,2 LOC,Tests to cover IMapMode codegeneration
Generation,129362,Michael Golubev,mgolubev,atikhomirov,3 LOC,move runtime-specific fqn out from templates to external switch
Generation,129362,Michael Golubev,mgolubev,atikhomirov,885 LOC,respect plug-in dependencies imposed by figure fqn switch
Generation,129362,Michael Golubev,mgolubev,atikhomirov,331 LOC,Respect plug-in dependencies imposed on figure code - fix missing support for inner-class case
Generation,129416,Christian Damus,cdamus,vramaswamy,131 LOC,Remove the MSL compatibility plug-in
Runtime Diagram,129417,Chris McGee,cmcgee,vramaswamy,344 LOC,MSL Editor Example uses Deprecated MSL APIs
Runtime EMF,129766,Radek Dvorak,rdvorak,atikhomirov,169 LOC,Remove deprecated API usage
Runtime EMF,129773,Christian Damus,cdamus,ldamus,84 LOC,EMFCoreUtil.destroy() cannot destroy non-contained dependents
Generation,129773,Christian Damus,cdamus,ldamus,4155 LOC,EMFCoreUtil.destroy() cannot destroy non-contained dependents
Runtime EMF,129773,Christian Damus,cdamus,ldamus,132 LOC,EMFCoreUtil.destroy() cannot destroy non-contained dependents
Generation,129809,Radek Dvorak,rdvorak,atikhomirov,8 LOC,NPE caused by no diagram-event-broker instance set for editing domain
Generation,130109,Radek Dvorak,rdvorak,atikhomirov,28 LOC,Register validation client context IDs qualified with the declaring plugin ID
Generation,130981,Christian Damus,cdamus,ldamus,318 LOC,CrossReferenceAdapter ignores references from containment notification
Generation,130981,Christian Damus,cdamus,ldamus,13 LOC,CrossReferenceAdapter ignores references from containment notification
Runtime EMF,130981,Christian Damus,cdamus,ldamus,15 LOC,CrossReferenceAdapter ignores references from containment notification
Runtime EMF,130981,Christian Damus,cdamus,ldamus,89 LOC,CrossReferenceAdapter ignores references from containment notification
Runtime EMF,130981,Christian Damus,cdamus,ldamus,8 LOC,CrossReferenceAdapter ignores references from containment notification
Runtime EMF,131340,Radek Dvorak,rdvorak,ashatalin,253 LOC,Update constraint annotations in gmfmap meta-model to the latest changes
Generation,131355,Michael Golubev,mgolubev,atikhomirov,152 LOC,Preserve modified gmfgen attributes which initialy had some default values
Generation,131355,Michael Golubev,mgolubev,atikhomirov,526 LOC,Preserve modified gmfgen attributes which initialy had some default values
Runtime EMF,131365,Michael Golubev,mgolubev,atikhomirov,244 LOC,Mirror diagram elements and connect them to newly generated custom figures
Generation,131365,Michael Golubev,mgolubev,atikhomirov,143 LOC,mirror diagram elements while generating figure code - tests and fix for connections
Generation,131366,Michael Golubev,mgolubev,atikhomirov,191 LOC,Check generated figures against originating gmfgraph model
Runtime EMF,131591,Tom MacDougall,tmacdoug,ldamus,2 LOC,ClassCastExcception after selecting Rulers and Grid preference page
Runtime Diagram,131762,Michael Golubev,mgolubev,atikhomirov,10 LOC,few more tests for #131762
Runtime Diagram,131762,Michael Golubev,mgolubev,atikhomirov,275 LOC,preserve GenChildContainer properties
Runtime EMF,131829,Chris McGee,cmcgee,vramaswamy,357 LOC,The pathmaps manager in runtime EMF needs to be kept up-to-date with the Eclipse path variables dialog
Runtime Diagram,132142,Christian Damus,cdamus,ahunter,20 LOC,Problems in Undo/Redo of DestroyElementCommand
Runtime EMF,132367,Chris McGee,cmcgee,vramaswamy,1 LOC,Provide specialized post commit listener that can open a write transaction
Runtime Diagram,132367,Chris McGee,cmcgee,vramaswamy,203 LOC,Provide specialized post commit listener that can open a write transaction
Generation,132367,Chris McGee,cmcgee,vramaswamy,38 LOC,Provide specialized post commit listener that can open a write transaction
Generation,133290,Michael Golubev,mgolubev,ashatalin,4 LOC,customAttributes is not being dispatched
Generation,133369,Radek Dvorak,rdvorak,ashatalin,828 LOC,Generate code for metric evaluation and result visualization
Generation,133472,Michael Golubev,mgolubev,atikhomirov,222 LOC,Reconcile GenCompartment boolean properties
Runtime Diagram,134094,Michael Golubev,mgolubev,atikhomirov,23 LOC,"Keep custom id, and printingEnabled property"
Runtime Diagram,134097,Michael Golubev,mgolubev,atikhomirov,132 LOC,Invalid code is generated for the node figure with XYLayout
Generation,134244,Michael Golubev,mgolubev,ashatalin,34 LOC,"gmfgraph: Do not define custom figures in the [eog].tests plugin, tests should use draw2d classes as custom figures instead"
Generation,134249,Michael Golubev,mgolubev,ashatalin,268 LOC,Generate all Figure/Shape properties
Generation,134506,Michael Golubev,mgolubev,atikhomirov,1167 LOC,"Emitter became top-level entity (TextEmitter), oddness of JetAdapter and Emitter api were cleared. GeneratorBase lost knowledge about JET. Parts of gmf.common made internal to avoid possible API issues. ImportAssistant refactored to know name of compilation unit to avoid problems like #134506. FigureGenerator's reuse of ImportAssistant removed."
Generation,134605,Christian Damus,cdamus,vramaswamy,70 LOC,Exceptions in paste operation
Runtime EMF,135016,Michael Golubev,mgolubev,atikhomirov,8 LOC,Background colour is not used to fill polygons
Generation,135017,Michael Golubev,mgolubev,atikhomirov,219 LOC,Respect resize constraints defined in .gmfgraph
Generation,135156,Christian Damus,cdamus,ashatalin,21 LOC,Templates need small change for OCL API Changes
Runtime EMF,135545,Christian Damus,cdamus,vramaswamy,315 LOC,The pathmaps preference page allows me to override path map variables contributed through the extension point
Generation,136702,Boris Blajer,bblajer,atikhomirov,1 LOC,Code generation targeting pure-GEF runtime
Generation,136702,Boris Blajer,bblajer,atikhomirov,3 LOC,Code generation targeting pure-GEF runtime refactoring to reuse action from codegen.ui for now
Runtime EMF,136738,Christian Damus,cdamus,ldamus,76 LOC,DeleteElementCommand leaves cross-resource-contained objects
Generation,136811,Michael Golubev,mgolubev,atikhomirov,51 LOC,Preserve shortcut-related properties on reconcile
Runtime EMF,137063,Christian Damus,cdamus,vramaswamy,55 LOC,GMFResource's abort on error load option is internal API
Generation,137225,Boris Blajer,bblajer,atikhomirov,111 LOC,Specify whether to generate gmf.runtime-based or pure draw2d figures
Generation,137225,Boris Blajer,bblajer,atikhomirov,27 LOC,"Specify whether to generate gmf.runtime-based or pure draw2d figures, within New Plug-in template"
Runtime EMF,137281,Chris McGee,cmcgee,vramaswamy,10 LOC,NPE in PathmapManager
Runtime EMF,137281,Nicholas Bennett,nbennett,vramaswamy,118 LOC,Copy/Paste infrastructure should call EcoreUtil#remove() before adding pasted EObjects to new containers
Generation,137775,Michael Golubev,mgolubev,atikhomirov,169 LOC,"Check generated code for layouts, custom connections and decorations"
Generation,137840,Michael Golubev,mgolubev,atikhomirov,4 LOC,uncompiliable code if CustomFigure contains Label
Runtime EMF,138363,Christian Damus,cdamus,vramaswamy,0 LOC,Remove deprecated internal API
Generation,138430,Boris Blajer,bblajer,atikhomirov,2742 LOC,Lite Generator: Generated code should make use of emf.transaction API
Runtime Diagram,138513,Alex Boyko,aboyko,mmostafa,27 LOC,Alt+Shift+D no longer duplicates a view (Fix for #138513)
Runtime Diagram,138516,Christian Damus,cdamus,vramaswamy,10 LOC,DiagramEventBrokerCommand should implement canRedo() using the EMF-TX extension to the Command interface
Generation,139022,Boris Blajer,bblajer,atikhomirov,67 LOC,Provide option to choose mapMode for figures
Runtime EMF,139049,Christian Damus,cdamus,vramaswamy,68 LOC,Runtime EMF API must be aware of cross-resource containment,
Runtime Diagram,139061,Syed Atif,syedatif,ahunter,6 LOC,Strange rectangle/line figure appears when popup bar appears on a shape compartment (Adds compartment name to the LogicShapeCompartmentEditPart),
Generation,139139,Michael Golubev,mgolubev,atikhomirov,676 LOC,Compilation error in the generated diagram code if DiagramLabel points to the deep Label Add getters/setters for each figure that is being used by any diagram element,
Generation,139148,Michael Golubev,mgolubev,atikhomirov,569 LOC,Temp fix for misassumption of ParentAssignedViewmap regarding generated getter name,
Runtime EMF,139274,Chris McGee,cmcgee,vramaswamy,28 LOC,Pathmaps preference page controls don't work properly with windows narrator,
Runtime EMF,139278,Christian Damus,cdamus,vramaswamy,4 LOC,Pathmaps preference page should use the eclipse default dialog font size and color,
Generation,140162,Boris Blajer,bblajer,atikhomirov,419 LOC,part 1 - refactor existing tests to make possible reusing in 'lite' tests,
Generation,140162,Boris Blajer,bblajer,atikhomirov,527 LOC,Tests for lite codegen functionality,
Generation,140186,Michael Golubev,mgolubev,atikhomirov,1100 LOC,XYLayoutEditPolicy should not be installed for editparts that have figure with non-XYLayout in the gmfgraph model,
Generation,140899,Michael Golubev,mgolubev,atikhomirov,61 LOC,gmfgraph.BasicFont should have reasonable default values for faceName, style and height properties
Runtime Common,140900,Yaser Lulu,ylulu,ldamus,22 LOC,ActionFilterService uses non-unique caching keys (Use differen cache key),
Runtime Notation,141061,Yaser Lulu,ylulu,ahunter,1291 LOC,Performance: Notation metamodel can reduce its memory usage,
Generation,141280,Boris Blajer,bblajer,atikhomirov,52 LOC,Support child nodes without label,
Runtime Common,141430,Syed Atif,syedatif,ahunter,13530 LOC,ACC: Print Dialog has fields that are not properly read by a screen reader,
Runtime Diagram,141621,Yaser Lulu,ylulu,sshaw,548 LOC,Performance TextCompartmentEditPart LabelEditPart and WrapLabel figure are relatively slow refreshing (Various performance enhancements),
Generation,141743,Boris Blajer,bblajer,atikhomirov,633 LOC,ClassCastException while executing undo after setting property/restoring default value in the property sheet,
Runtime Diagram,142012,Tom MacDougall,tmacdoug,ahunter,24 LOC,DiagramDocumentProviders should log errors and warnings when resource is loaded (Added logging for EMF Resource errors and warnings)
Runtime Diagram,142109,Tom MacDougall,tmacdoug,mmostafa,47 LOC,TVT3.2:TCT502: AR: GMF: Tool Tips from the Popup Bar disappears.
Runtime EMF,142115,Nicholas Bennett,nbennett,vramaswamy,8 LOC,Copy/Paste infrastructure should call EcoreUtil#remove() before adding pasted EObjects to new containers
Runtime EMF,142326,Christian Damus,cdamus,vramaswamy,0 LOC,athmapManager only denormalizes file: and platform:/resource URIs
Generation,143168,Boris Blajer,bblajer,atikhomirov,441 LOC,Make Align actions work
Generation,143168,Boris Blajer,bblajer,atikhomirov,145 LOC,Tests for align commands
Generation,143222,Michael Golubev,mgolubev,atikhomirov,14 LOC,Remove 'Nodes Diagram Label' menu item
Generation,143455,Boris Blajer,bblajer,atikhomirov,155 LOC,make LiteCompilationTest pass
Runtime EMF,143533,Christian Damus,cdamus,vramaswamy,79 LOC,[EMF UI] Should how pathmap variable values in preference page
Generation,143619,Michael Golubev,mgolubev,atikhomirov,569 LOC,Temp fix for misassumption of ParentAssignedViewmap regarding generated getter name
Generation,143666,Michael Golubev,mgolubev,atikhomirov,54 LOC,CCE when compartment is added into the content pane with layout
Generation,143666,Michael Golubev,mgolubev,atikhomirov,300 LOC,Tests to cover #143666 CCE when compartment is added into the content pane with layout
Generation,143686,Boris Blajer,bblajer,atikhomirov,11 LOC,getCreateNodeCommand returns null
Generation,143687,Boris Blajer,bblajer,atikhomirov,623 LOC,impossible to direct-edit any label except the first one
Generation,143934,Michael Golubev,mgolubev,ashatalin,825 LOC,Compartment title is not shown on diagram
Generation,143934,Michael Golubev,mgolubev,ashatalin,112 LOC,Compartment title is not shown on diagram. Fixing compatibility with tests for light generator.
Generation,143983,Boris Blajer,bblajer,atikhomirov,1096 LOC,Respect link cardinality in commands that start connections
Generation,144180,Boris Blajer,bblajer,atikhomirov,580 LOC,CCE in generated diagram when trying to direct-edit an element
Generation,144203,Michael Golubev,mgolubev,atikhomirov,60 LOC,Reconcile custom model id
Generation,144204,Michael Golubev,mgolubev,atikhomirov,166 LOC,Custom plugin name defined in gmfgen model is not retained on regeneration from gmfmap model
Generation,144412,Boris Blajer,bblajer,atikhomirov,3048 LOC,"Allow non-OCL-based FeatureSeqInitializers, constraints and selectors"
Generation,144497,Michael Golubev,mgolubev,atikhomirov,166 LOC,"Preserve user-defined values for .gmfgen's dynamicTemplates, templateDirectory, creationWizardIconPath and iconPath options"
Runtime Diagram,144561,Christian Damus,cdamus,ahunter,9 LOC,NPE in AbstractModelerPropertySection
Runtime Diagram,145467,Alex Boyko,aboyko,mmostafa,27 LOC,"*** NOTE: wrong bug # in comment *** Problems when using the ""avoid obstructions"" setting for connections"
Generation,145863,Michael Golubev,mgolubev,ashatalin,2 LOC,Fixing runtime model consistency
Generation,145863,Michael Golubev,mgolubev,ashatalin,0 LOC,Correcting link creation process in accordance with corresponding logic in a runtime.
Generation,145863,Michael Golubev,mgolubev,ashatalin,59 LOC,Adding tests for the links
Generation,145863,Michael Golubev,mgolubev,ashatalin,1476 LOC,Colors defined in the gmfgraph model should be used by the generated polyline connections
Generation,145863,Michael Golubev,mgolubev,ashatalin,40 LOC,Colors defined in the gmfgraph model should be used by the generated polyline connections. Additional patch for the lite mode tests.
Generation,146009,Boris Blajer,bblajer,atikhomirov,29 LOC,Changes in the underlying domain model should be automatically reflected in the notational model
Generation,146009,Boris Blajer,bblajer,atikhomirov,7799 LOC,Reflect changes in domain model links
Generation,146026,Michael Golubev,mgolubev,ashatalin,630 LOC,[Reconciler] User defined gmfgen Viewmap attributes should be preserved
Runtime EMF,146049,Loic Julien,ljulien,ldamus,2 LOC,ElementTypeRegistry assumes nsURI are the same inside one's type hierarchy
Runtime Diagram,146411,Maneesh Goyal,mgoyal,ahunter,57 LOC,CrossReferenceAdapter is consuming too time iterating over derived features and never uses the values of these features
Generation,146531,Michael Golubev,mgolubev,ashatalin,88 LOC,Install ResizableCompartmentEditPolicy for child compartments in all the generated LayoutEditPolicies for NodeEditParts
Runtime Diagram,146692,Alex Boyko,aboyko,mmostafa,20 LOC,support a consistent and ample snap zone for wiring to all object types (corrected patch)
Generation,147076,Boris Blajer,bblajer,ashatalin,1506 LOC,Lite generator: Support ParentAssignedViewmap for labels and compartments
Runtime Diagram,147312,Maneesh Goyal,mgoyal,ahunter,915 LOC,CrossReferenceAdapter updateImportsAndExports performance can be improved by 10%
Runtime EMF,147312,Maneesh Goyal,mgoyal,ahunter,161 LOC (split with cdamus),CrossReferenceAdapter updateImportsAndExports performance can be improved by 10%
Runtime EMF,147312,Christian Damus,cdamus,ahunter,161 LOC (split with mgoyal),CrossReferenceAdapter updateImportsAndExports performance can be improved by 10%
Runtime Diagram,147361,Tom MacDougall,tmacdoug,mmostafa,61 LOC,Cell editor border is rendered with a dotted line when the grid line is dotted (patch for graphics painting of the cell editor frame)
Runtime EMF,147722,Christian Damus,cdamus,ldamus,22 LOC,CrossReferenceAdapter incorrectly computes resource exports from derived features
Generation,147853,Michael Golubev,mgolubev,ashatalin,1881 LOC,Fonts defined in the gmfgraph model should be used by the generated labels
Generation,147853,Michael Golubev,mgolubev,ashatalin,18 LOC,Fixing tests execution on buildmachine.
Generation,147853,Michael Golubev,mgolubev,ashatalin,18 LOC,Commenting ouy the test due to the problems with default font setting on build machine.
Runtime Diagram,147891,Tom MacDougall,tmacdoug,ahunter,1 LOC,"Empty packages added to Manifest file, Makes src.zip unusable."
Runtime Diagram,148078,Alex Boyko,aboyko,ahunter,26 LOC,@since 3.0/3.1 tags in Javadocs in DiagramDocumentEditor class (No @since in GMF)
Runtime Diagram,148244,Syed Atif,syedatif,mmostafa,165 LOC,Mouse-enabled direct-edit not working properly (Updated patch that disposes fonts correctly.)
Runtime Diagram,148257,Tom MacDougall,tmacdoug,ldamus,3 LOCD,"""Grid In Front"" setting not respected when editor is opened"
Generation,148402,Michael Golubev,mgolubev,atikhomirov,584 LOC,Do not create unlimited number of font/color resources
Runtime Common,148427,Christian Damus,cdamus,ahunter,79 LOC,Need ability to extend ElementSelectionService for transaction support
Runtime Diagram,148623,Maneesh Goyal,mgoyal,ahunter,57 LOC,NullPointerException thrown in DiagramDocumentProvider
Generation,148634,Michael Golubev,mgolubev,atikhomirov,7 LOC,Reconcile Creation Wizard Category ID
Runtime Diagram,149073,Maneesh Goyal,mgoyal,ahunter,0 LOC,NPE thrown in DiagramIOUtil
Runtime Common,149244,Tom MacDougall,tmacdoug,mmostafa,11 LOC,NullPointerException in ArrangeAction (patch for AbstractActionHandler)
Runtime Common,149315,Christian Vogt,cvogt,ldamus,83 LOC,prevent global Undo / Redo actions from nested execution
Generation,149484,Boris Blajer,bblajer,ashatalin,456 LOC,Lite Generator: Notation model instances (Edges) should not store domain model element for reference-only links
Generation,149579,Boris Blajer,bblajer,ashatalin,2 LOC,Lite Generator [File format]: Compartments and labels should have element feature unset
Runtime Diagram,149986,Maneesh Goyal,mgoyal,ahunter,1 LOC,DiagramDocumentEditor not able to handle refactor/rename when multiple editors are open on same file
Runtime Diagram,149987,Maneesh Goyal,mgoyal,ahunter,26 LOC,Exceptions are thrown in different scenarios in DocumentProviders
Runtime Diagram,150030,Maneesh Goyal,mgoyal,ahunter,5 LOC,Outline view (TreeEditPart) is causing an infinite loop when creating views (long running operation)
Runtime Diagram,150057,Alex Boyko,aboyko,ahunter,12 LOC,Tooltips are needed for Outline Window buttons (bug #150057 fix)
Runtime Diagram,150316,Yaser Lulu,ylulu,sshaw,848 LOC,SemanticListCompartmentEditPart could improve its performance (Enhance SemanticListCompartmentEditPart performance)
Runtime Diagram,150317,Yaser Lulu,ylulu,mmostafa,93 LOC,DiagramEventBroker performance could be enhanced (Enhance DiagramEventBroker performance)
Runtime Diagram,150403,Yaser Lulu,ylulu,mmostafa,129 LOC,Scrollbar figures are created pre-maturely (Updated ScrollBar patch)
Runtime Diagram,150429,Wayne Diu,wdiu,ahunter,0 LOC,DiagramIOUtil provides bad status message
Runtime Diagram,150667,Christian Vogt,cvogt,ahunter,13 LOC,change DiagramModificationListeners to be adapters rather than ResourceSetListeners (patch for FileDiagramModificationListener and DiagramModificationListener)
Runtime Diagram,150978,Syed Atif,syedatif,mmostafa,50 LOC,"Direct-Editing should provide the ""Ctrl+C/V/X"" keystroke support. (Patch that provides shortcut functionality during direct edit mode.)"
Runtime Diagram,150982,Syed Atif,syedatif,ldamus,267 LOC,Bookmark view not sync with diagram eidtor (Structural reforms.)
Runtime Diagram,151231,Syed Atif,syedatif,ahunter,7 LOC,ElementSelectionComposite filter fails to re-query the service (Patch that fixes this problem.)
Generation,151522,Fedor Isakov,fisakov,ashatalin,33 LOC,Shortcut decorator provider removes decoration on refresh
Runtime EMF,151690,Natalia Balaba,nbalaba,ldamus,35 LOC,Subclasses of CopyOperation cannot modify the auxiliary objects being copied (a patch to enable clipboard copy operations to be overriden)
Runtime Common,152363,Tom MacDougall,tmacdoug,ldamus,5 LOC,SWT Exceptions can result from readAndDispatch run after canEdit call (patch for TreeInlineTextEditor)
Runtime Diagram,152392,Yaser Lulu,ylulu,mmostafa,95 LOC,*** REVERTED *** Performance of DiagramEditPart and ConnectionEditPart could be enhanced (performance enhancement code)
Runtime Diagram,152455,Yaser Lulu,ylulu,mmostafa,46 LOC,ViewFactories impl could be enhanced (View factories enhanced code)
Generation,152774,Boris Blajer,bblajer,atikhomirov,6138 LOC,Compilable code when EClass has instance class attribute set
Generation,152851,Boris Blajer,bblajer,atikhomirov,7 LOC,Deletion of element without links is not reflected in view model
Generation,152854,Boris Blajer,bblajer,atikhomirov,4 LOC,Allow shape nodes to be placed inside list-layout compartments
Generation,152859,Boris Blajer,bblajer,atikhomirov,736 LOC,add missing @generated tags
Generation,153296,Michael Golubev,mgolubev,atikhomirov,5 LOC,bug in GMFGenConfig leads to failing tests
Runtime Diagram,153899,Alex Boyko,aboyko,ahunter,4 LOC,Bad Header in two files (New headers)
Generation,154689,Boris Blajer,bblajer,atikhomirov,9 LOC,support merging of generated non-java files
Runtime Diagram,"113892 (in CVS, but does not match in Bugzilla)",Alexander Shatalin,ashatalin,atikhomirov,1773 LOC,Flexible compartment hierarchy
Generation,,Alexander Shatalin,ashatalin,atikhomirov,small,Should be possible to specify editable feature and domain element for child nodes
Generation,,Alexander Shatalin,ashatalin,atikhomirov,208,Action to initialize diagram from existing domain model gets generated
org.eclipse.gmf.bridge,,Alexander Shatalin,ashatalin,atikhomirov,small,Action to initialize diagram from existing domain model gets generated
org.eclipse.gmf.codegen,,Alexander Shatalin,ashatalin,atikhomirov,small,"correctly create instances of the user domain model if ""InstanceClassName"" property was specified in .ecore file. (using ""create(EClass)"" method instead of typed ""create????()"" methods)"
org.eclipse.gmf.codegen.edit,,Alexander Shatalin,ashatalin,atikhomirov,small,"Hand-wirtten code for additional initialization in CreationFactory should be subject to ""@generated NOT"" protection (generating separate inner class for each palette tool's factory)."
org.eclipse.gmf.codegen,,Alexander Shatalin,ashatalin,atikhomirov,small,import all required EMF.Edit plugins
org.eclipse.gmf.codegen,,Alexander Shatalin,ashatalin,atikhomirov,351,Should be possible to specify editable feature and domain element for child nodes
org.eclipse.gmf.codegen,,Alexander Shatalin,ashatalin,atikhomirov,small,Should be possible to specify editable feature and domain element for child nodes
org.eclipse.gmf.map,,Alexander Shatalin,ashatalin,atikhomirov,small,Should be possible to specify editable feature and domain element for child nodes
org.eclipse.gmf.map.edit,,Alexander Shatalin,ashatalin,atikhomirov,small,"Hand-wirtten code for additional initialization in CreationFactory should be subject to ""@generated NOT"" protection (generating separate inner class for each palette tool's factory)."
org.eclipse.gmf.bridge,,Dmitri Stadnik,dstadnik,atikhomirov,1097,Use Notation Model as runtime model
org.eclipse.gmf.codegen,,Dmitri Stadnik,dstadnik,atikhomirov,479,support for (a) connections (with associated domain class) and (b) compartments
org.eclipse.gmf.codegen,,Karen Shaglamdjan,kshaglamdjan,dstadnik,51 LOC,file-based map source
org.eclipse.gmf.codegen,,Karen Shaglamdjan,kshaglamdjan,dstadnik,73 LOC,allow to load diadef models from file
Generation,,Karen Shaglamdjan,kshaglamdjan,dstadnik,171 LOC,file-based setup for diagen and domain model








Third Party Software (Section 3),,,,,,
org.apache.batik_1.6,cvsroot/modeling/org.eclipse.gmf/plugins/org.apache.batik,Apache License Version 2.0 January 2004,unmodified entire package (includes pdf transcoder),,,
org.apache.xerces_2.8,maintained by WebTools,Apache License Version 2.0 January 2004,unmodified entire package,,,
