NOTE: THIS LOG IS OBSOLETE AND IS REPLACED BY http://www.eclipse.org/gmf/development/ipquery.php
Committers (Section 1)
ahunter
atikhomirov
crevells
fplante
mfeldman
rgronback
sshaw
vramaswamy
ldamus
mmostafa
dstadnik
ashatalin
rdvorak
Developers (Section 2),,,,,,
,bug #,name,key,committer,size,description
org.eclipse.gmf.runtime.common.ui,110317,Eliza Tworkowska,etworkow,ahunter,small,Compiler warning count should be 0 - runtime foundation layer components
org.eclipse.gmf.runtime.common.ui.action,110334,Christian Vogt,cvogt,ahunter,2.56 KB,MSL permanently removes listeners upon uncaught exceptions
org.eclipse.gmf.runtime.common.ui.action.ide,110485,Keith Campbell,keithc,ahunter,19.22 KB,Improve performance of Service & ExecutionStrategy
org.eclipse.gmf.runtime.emf.core,110489,Keith Campbell,keithc,NOT YET COMMITTED,6.10 KB,Don't configure services prematurely
org.eclipse.gmf.tests.runtime.common.core,110616,Cherie Mahoney,cmahoney,sshaw,144 LOC,Palette stack is removed if active tool gets removed after capability is disabled.
org.eclipse.gmf.examples.runtime.common.service,110635,Keith Campbell,keithc,ahunter,14.99 KB,Delay configuration of services
Runtime Diagram,110635,Keith Campbell,keithc,ahunter,10.30 KB,Delay configuration of services
org.eclipse.gmf.runtime.common.ui.services,110635,Keith Campbell,keithc,ahunter,5.09 KB,Delay configuration of services
org.eclipse.gmf.runtime.common.ui.services.action,110635,Keith Campbell,keithc,ahunter,5.93 KB,Delay configuration of services
org.eclipse.gmf.runtime.common.ui.services.dnd,110635,Keith Campbell,keithc,ahunter,7.32 KB,Delay configuration of services
org.eclipse.gmf.runtime.common.ui.services.properties,110635,Keith Campbell,keithc,ahunter,15.88 KB,Delay configuration of services
org.eclipse.gmf.runtime.diagram.ui,110635,Keith Campbell,keithc,ahunter,6.96 KB,Delay configuration of services
org.eclipse.gmf.runtime.emf.core,110721,Min Idzelis,midzelis,NOT YET COMMITTED,4.77 KB,Only allow 1 ConnectorHandle to be shown at a time
org.eclipse.gmf.runtime.emf.ui,110765,Cherie Mahoney,cmahoney,sshaw,2.73 KB,Allow to customize palette model creation
org.eclipse.gmf.runtime.diagram.ui,110803,Tom MacDougall,tmacdoug,sshaw,small,Palette configuration tutorial text
org.eclipse.gmf.runtime.diagram.ui,110815,Cherie Mahoney,cmahoney,sshaw,66 LOC,Zoom toolbar item not enabled until multiple diagrams are open
org.eclipse.gmf.runtime.doc.isv,110861,Tom MacDougall,tmacdoug,sshaw,small,Routing style properties radio button allowing multiple selection
Runtime Diagram,110975,Tom MacDougall,tmacdoug,sshaw,3 LOC,Diagram defaults anti-aliasing enabled despite corresponding preference not to enable
org.eclipse.gmf.runtime.diagram.ui.properties,111081,Min Idzelis,midzelis,NOT YET COMMITTED,942 bytes,PropertiesView for edges is broken (patch included)
Runtime Diagram,111084,Chris McGee,cmcgee,NOT YET COMMITTED,3.52 KB,The gmf.runtime.emf.core Example Should Demonstrate Finding Reverse References
org.eclipse.gmf.runtime.diagram.ui.properties,111142,Mohammed Mostafa,mmostafa,sshaw,small,Performance drop when visualizing 500 element (regression) 
Runtime Diagram,111223,Wayne Diu,wdiu,sshaw,345 LOC,DiagramDocument listener isn't correctly detecting save events
org.eclipse.gmf.examples.runtime.emf,111376,Linda Damus,ldamus,ahunter,917 bytes,AbstractModelerPropertySection refreshes when input deleted
org.eclipse.gmf.runtime.diagram.ui,111383,Min Idzelis,midzelis,NOT YET COMMITTED ?,2.74 KB,DiagramModelingAssistantProvider contributes Note's too aggressively
org.eclipse.gmf.runtime.diagram.ui.properties,111383,Mindaugas Idzelis,midzelis,sshaw,small,DiagramModelingAssistantProvider contributes Note's too aggressively
org.eclipse.gmf.runtime.diagram.ui.providers,111455,Dmitri Stadnik,dstadnik,atikhomirov,small,Generate consistent names for notation view factories
org.eclipse.gmf.runtime.diagram.ui.providers,111457,Dmitri Stadnik,dstadnik,atikhomirov,small,Use model labels in palette factory
org.eclipse.gmf.codegen,111460,Dmitri Stadnik,dstadnik,atikhomirov,small,Generate dedicated edit part for the node label
org.eclipse.gmf.codegen,111461,Dmitri Stadnik,dstadnik,atikhomirov,small,Do not use 'final' keyword in method parameters
org.eclipse.gmf.codegen,111508,Eliza Tworkowska,etworkow,ahunter,1.48 KB,Extension Point and Schema Cleanup
org.eclipse.gmf.codegen,111508,Eliza Tworkowska,etworkow,ahunter,4.12 KB,Extension Point and Schema Cleanup
org.eclipse.gmf.runtime.common.core,111508,Eliza Tworkowska,etworkow,ahunter,6.22 KB,Extension Point and Schema Cleanup
org.eclipse.gmf.runtime.common.ui.services,111508,Eliza Tworkowska,etworkow,ahunter,1.80 KB,Extension Point and Schema Cleanup
org.eclipse.gmf.runtime.common.ui.services.action,111508,Eliza Tworkowska,etworkow,ahunter,3.64 KB,Extension Point and Schema Cleanup
org.eclipse.gmf.runtime.common.ui.services.dnd,111606,Cherie Mahoney,cmahoney,sshaw,small,Need ability to provide decorations that will show regardless of parent visibility
org.eclipse.gmf.runtime.common.ui.services.properties,111610,Cherie Mahoney,cmahoney,sshaw,small,Palette not updated when diagram is opened which prompts to enable capability
org.eclipse.gmf.runtime.diagram.ui,111642,Linda Damus,ldamus,ahunter,2.83 KB,Correct ElementTypeRegistry to return valid IElementType in case of editing ECore model
org.eclipse.gmf.runtime.diagram.ui,111642,Linda Damus,ldamus,ahunter,2.35 KB,Correct ElementTypeRegistry to return valid IElementType in case of editing ECore model
org.eclipse.gmf.runtime.emf.type.core,111651,Eliza Tworkowska,etworkow,ahunter,6.36 KB,WorkbenchPartDescriptor is incorrectly spelled as WorkbenchPartDescirptor
org.eclipse.gmf.tests.runtime.emf.type.core,111651,Eliza Tworkowska,etworkow,ahunter,3.47 KB,WorkbenchPartDescriptor is incorrectly spelled as WorkbenchPartDescirptor
org.eclipse.gmf.runtime.common.ui.util,111651,Eliza Tworkowska,etworkow,ahunter,1.39 KB,WorkbenchPartDescriptor is incorrectly spelled as WorkbenchPartDescirptor
org.eclipse.gmf.runtime.common.ui.services.action,111664,Dusko,dusko,ahunter,1.03 KB,PropertiesBrowserPage throws NPE if there is no structured selection when the label provider changed event is handled
org.eclipse.gmf.runtime.diagram.ui,111665,Cherie Mahoney,cmahoney,sshaw,small,Icons in org.eclipse.gmf.examples.runtime.diagram.logic.model.
org.eclipse.gmf.runtime.diagram.ui.properties,111637,Linda Damus,ldamus,ahunter,25.19 KB,IRepeatableAction should be deprecated
org.eclipse.gmf.examples.runtime.diagram.logic.model.,111637,Linda Damus,ldamus,ahunter,8.47 KB,IRepeatableAction should be deprecated
org.eclipse.gmf.runtime.common.ui,111637,Linda Damus,ldamus,ahunter,1.64 KB,IRepeatableAction should be deprecated
org.eclipse.gmf.runtime.common.ui.action,111637,Linda Damus,ldamus,ahunter,896 bytes,IRepeatableAction should be deprecated
org.eclipse.gmf.runtime.common.ui.services.action,111637,Linda Damus,ldamus,ahunter,2.70 KB,IRepeatableAction should be deprecated
org.eclipse.gmf.runtime.diagram.ui.actions,111637,Linda Damus,ldamus,ahunter,6.93 KB,IRepeatableAction should be deprecated
org.eclipse.gmf.runtime.emf.ui,111736,Linda Damus,ldamus,ahunter,4.72 KB,Edit helper advice is not available when specialization type is registered in code
org.eclipse.gmf.tests.runtime.common.ui,111736,Linda Damus,ldamus,ahunter,3.22 KB,Edit helper advice is not available when specialization type is registered in code
org.eclipse.gmf.runtime.emf.type.core,111769,Alexander Shatalin,ashatalin,atikhomirov,small,NamingStrategy for ViewFactories
org.eclipse.gmf.runtime.emf.type.core,111772,Alexander Shatalin,ashatalin,atikhomirov,small,EFactory.create(..) instead of XXFactory.createXXClass
org.eclipse.gmf.bridge,111773,Alexander Shatalin,ashatalin,atikhomirov,small,Multiple views for single domain metaelement based on it's state
org.eclipse.gmf.codegen,111782,Alexander Shatalin,ashatalin,atikhomirov,small,Support same metaelement both as top-level and inner diagram element
