Committers

jmusset
lgoubet
cbrun
wbast
akok

Developers

org.ecilpse.acceleo,249774,fallilaire,small,lgoubet
org.ecilpse.acceleo,262743,Yvan Lussaud,small,lgoubet
org.ecilpse.acceleo,260544,Jerome Benois,small,lgoubet
org.ecilpse.acceleo,250650,Stephane Bouchet,small,lgoubet

Third Party Software

MTL Version: 0.7.0,unmodified source,Object Management Group License,2511
MTL MOF Models To Text Transformation Language Specification Version: 1.0,unmodified source,Object Management Group License,2518
